City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Suure-Jaani,EE,2022-02-12 15:11:27,58.5361,25.4706,34.95,77,100,15.19
68,Tessalit,ML,2022-02-12 15:11:27,20.1986,1.0114,83.14,8,65,13.44
69,Takoradi,GH,2022-02-12 15:11:27,4.8845,-1.7554,84.87,66,100,12.03
70,Stromness,GB,2022-02-12 15:11:28,58.965,-3.296,46.65,80,86,26.89
71,Rio Grande,BR,2022-02-12 15:11:28,-32.035,-52.0986,82.51,66,21,13.13
72,Te Anau,NZ,2022-02-12 15:11:28,-45.4167,167.7167,44.65,83,76,3.2
73,Nanortalik,GL,2022-02-12 15:11:29,60.1432,-45.2371,31.06,90,100,11.23
74,Diamantino,BR,2022-02-12 15:11:29,-14.4086,-56.4461,81.84,73,99,5.08
75,Tasiilaq,GL,2022-02-12 15:11:29,65.6145,-37.6368,15.96,64,100,3.29
76,Salalah,OM,2022-02-12 15:11:30,17.0151,54.0924,77.09,57,20,6.91
77,Bengkulu,ID,2022-02-12 15:11:30,-3.8004,102.2655,77.61,85,100,5.08
78,Yelizovo,RU,2022-02-12 15:11:30,53.1873,158.3805,3.11,65,71,4.0
79,Qaanaaq,GL,2022-02-12 15:11:31,77.484,-69.3632,-21.21,48,0,8.55
80,Russell,US,2022-02-12 15:11:31,32.3502,-85.1999,55.11,70,99,2.8
81,Oranjemund,NA,2022-02-12 15:11:31,-28.55,16.4333,76.91,57,36,19.91
82,Yellowknife,CA,2022-02-12 15:11:32,62.456,-114.3525,-27.58,91,20,5.01
83,Bambous Virieux,MU,2022-02-12 15:11:32,-20.3428,57.7575,80.22,76,48,7.0
84,Chkalovskoye,RU,2022-02-12 15:11:32,44.8392,133.0436,-4.05,99,65,3.96
85,Torbay,CA,2022-02-12 15:11:33,47.6666,-52.7314,38.57,72,100,3.0
86,Ushuaia,AR,2022-02-12 15:11:33,-54.8,-68.3,49.62,61,75,40.29
87,Sar-E Pul,AF,2022-02-12 15:11:33,35.8333,66.1667,34.36,92,100,1.9
88,Laguna,US,2022-02-12 15:10:32,38.421,-121.4238,60.62,94,0,0.0
89,Rikitea,PF,2022-02-12 15:11:34,-23.1203,-134.9692,78.93,70,63,13.98
90,Port Hardy,CA,2022-02-12 15:11:34,50.6996,-127.4199,37.76,100,100,3.44
91,Bethel,US,2022-02-12 15:11:35,41.3712,-73.414,55.49,55,20,8.05
92,Tuktoyaktuk,CA,2022-02-12 15:11:23,69.4541,-133.0374,-30.86,100,39,5.28
93,Kaitong,CN,2022-02-12 15:12:35,44.8135,123.15,-7.94,95,6,1.41
94,Urumqi,CN,2022-02-12 15:12:35,43.801,87.6005,11.35,85,75,2.24
95,Lebu,CL,2022-02-12 15:12:36,-37.6167,-73.65,68.77,52,3,12.55
96,Avera,US,2022-02-12 15:12:36,33.194,-82.5271,56.71,58,100,5.28
97,Semnan,IR,2022-02-12 15:12:36,35.5729,53.3971,48.85,54,67,2.82
98,Kruisfontein,ZA,2022-02-12 15:12:37,-34.0033,24.7314,80.17,65,39,16.53
99,Atascadero,US,2022-02-12 15:10:45,35.4894,-120.6707,61.68,63,7,5.12
100,Khatanga,RU,2022-02-12 15:11:29,71.9667,102.5,-12.03,84,97,8.63
101,Chimoio,MZ,2022-02-12 15:12:37,-19.1164,33.4833,80.46,57,40,8.05
102,Indiaroba,BR,2022-02-12 15:12:38,-11.5192,-37.5117,90.81,50,24,11.27
103,Sao Paulo De Olivenca,BR,2022-02-12 15:12:38,-3.3783,-68.8725,87.8,58,98,3.83
104,Neuquen,AR,2022-02-12 15:08:22,-38.9516,-68.0591,78.69,27,0,6.91
105,Atar,MR,2022-02-12 15:12:38,20.5169,-13.0499,83.91,13,25,16.71
106,Ilulissat,GL,2022-02-12 15:12:39,69.2167,-51.1,33.82,47,75,11.5
107,Mehamn,NO,2022-02-12 15:12:39,71.0357,27.8492,26.47,71,99,15.57
108,Tiarei,PF,2022-02-12 15:12:39,-17.5333,-149.3333,75.22,76,99,12.21
109,Saint-Pierre,RE,2022-02-12 15:12:40,-21.3393,55.4781,82.04,78,75,11.5
110,Manjeshwar,IN,2022-02-12 15:12:40,12.7194,74.8861,81.55,73,0,1.59
111,Thompson,CA,2022-02-12 15:12:40,55.7435,-97.8558,-12.3,95,100,6.04
112,Macapa,BR,2022-02-12 15:12:41,0.0389,-51.0664,89.58,66,75,12.66
113,Cap-Haitien,HT,2022-02-12 15:12:41,19.7578,-72.2042,80.55,57,20,6.91
114,Kahului,US,2022-02-12 15:12:42,20.8947,-156.47,71.83,83,0,4.0
115,Seoul,KR,2022-02-12 15:11:26,37.5683,126.9778,31.44,37,100,2.51
116,Guerrero Negro,MX,2022-02-12 15:12:43,27.9769,-114.0611,60.75,65,99,4.52
117,Yatou,CN,2022-02-12 15:12:43,37.15,122.3833,36.81,65,100,5.64
118,Sarkand,KZ,2022-02-12 15:12:44,45.41,79.9186,25.41,92,100,3.31
119,Camopi,GF,2022-02-12 15:12:44,3.1655,-52.3158,79.18,87,85,4.27
120,Beckley,US,2022-02-12 15:12:44,37.7782,-81.1882,46.29,68,100,11.5
121,Ribeira Grande,PT,2022-02-12 15:12:45,38.5167,-28.7,63.0,77,20,19.57
122,Luanda,AO,2022-02-12 15:12:45,-8.8368,13.2343,81.09,70,41,14.47
123,Bahia Blanca,AR,2022-02-12 15:12:45,-38.7196,-62.2724,71.94,21,0,4.21
124,Sukhobezvodnoye,RU,2022-02-12 15:12:46,57.0491,44.8891,24.46,92,100,7.65
125,Praia Da Vitoria,PT,2022-02-12 15:12:46,38.7333,-27.0667,64.76,78,100,11.21
126,Bubaque,GW,2022-02-12 15:12:47,11.2833,-15.8333,82.44,48,0,3.6
127,Sangar,RU,2022-02-12 15:12:47,63.9242,127.4739,-22.5,99,100,2.24
128,Hilo,US,2022-02-12 15:10:31,19.7297,-155.09,67.73,84,100,1.01
129,Busselton,AU,2022-02-12 15:12:47,-33.65,115.3333,59.09,67,0,15.1
130,Souillac,MU,2022-02-12 15:12:48,-20.5167,57.5167,80.37,74,50,8.61
131,Alekseyevsk,RU,2022-02-12 15:12:48,57.8406,108.3492,-22.58,100,75,1.01
132,Norman Wells,CA,2022-02-12 15:12:48,65.282,-126.8329,-16.08,95,95,4.9
133,Half Moon Bay,US,2022-02-12 15:12:49,37.4636,-122.4286,62.24,72,0,0.0
134,Pangnirtung,CA,2022-02-12 15:12:49,66.1451,-65.7125,-0.36,99,100,4.79
135,Iskenderun,TR,2022-02-12 15:12:49,36.5872,36.1735,59.83,66,0,3.2
136,Namibe,AO,2022-02-12 15:12:50,-15.1961,12.1522,82.04,57,62,11.48
137,Esperance,AU,2022-02-12 15:12:51,-33.8667,121.9,65.1,73,99,14.99
138,Rincon,US,2022-02-12 15:12:51,32.296,-81.2354,61.95,58,75,4.61
139,Pak Phanang,TH,2022-02-12 15:09:11,8.3511,100.202,84.07,76,95,6.76
140,Beira,MZ,2022-02-12 15:13:51,-19.8436,34.8389,81.84,67,27,10.69
141,Bandarbeyla,SO,2022-02-12 15:13:52,9.4942,50.8122,77.41,57,30,13.15
142,Sal Rei,CV,2022-02-12 15:13:52,16.1833,-22.9167,82.6,36,100,21.85
143,Lavrentiya,RU,2022-02-12 15:13:52,65.5833,-171.0,-19.93,92,15,7.2
144,Khani,GE,2022-02-12 15:13:53,41.9563,42.9566,49.57,86,76,6.02
