City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Xining,CN,36.6167,101.7667,12.43,69,1,0.25,clear sky
80,Kaeo,NZ,-35.1,173.7833,57.33,93,7,3.58,clear sky
81,Tevriz,RU,57.509,72.4042,5.54,98,100,2.35,overcast clouds
82,Egvekinot,RU,66.3167,-179.1667,-18.09,92,99,6.44,overcast clouds
83,Saint-Felicien,CA,48.6501,-72.4491,-10.7,64,40,4.61,scattered clouds
84,Paracuru,BR,-3.41,-39.0306,87.82,64,74,12.88,broken clouds
85,Magistralnyy,RU,56.1725,107.4458,-29.31,100,42,2.98,scattered clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,40,11.5,scattered clouds
87,Asyut,EG,27.181,31.1837,68.18,28,0,9.62,clear sky
88,Nagato,JP,34.3833,131.2,46.31,77,100,14.94,light rain
89,Lisakovsk,KZ,52.5369,62.4936,16.56,96,100,6.51,overcast clouds
90,Weligama,LK,5.9667,80.4167,73.76,90,100,10.58,overcast clouds
91,Winnemucca,US,40.973,-117.7357,48.56,35,0,3.09,clear sky
92,Praia,CV,14.9215,-23.5087,81.14,50,0,20.71,clear sky
93,Witu,KE,-2.3889,40.4382,78.96,81,36,10.51,scattered clouds
94,Isangel,VU,-19.55,169.2667,78.42,89,86,5.88,overcast clouds
95,Bowen,AU,-20.0167,148.2333,73.62,74,32,16.2,scattered clouds
96,Chapais,CA,49.7834,-74.8492,-13.22,83,95,3.42,overcast clouds
97,Georgetown,MY,5.4112,100.3354,82.33,91,40,6.91,scattered clouds
98,Pevek,RU,69.7008,170.3133,-18.4,98,100,8.75,overcast clouds
99,Kaitangata,NZ,-46.2817,169.8464,49.93,85,29,3.58,scattered clouds
100,Geraldton,AU,-28.7667,114.6,75.61,78,40,10.36,scattered clouds
101,Broome,US,42.2506,-75.833,24.1,63,100,9.22,overcast clouds
102,Aban,RU,56.67,96.06,-7.78,96,21,8.03,few clouds
103,Tabriz,IR,38.08,46.2919,29.66,69,20,4.61,few clouds
104,Castro,BR,-24.7911,-50.0119,80.26,51,11,5.28,few clouds
105,Cidreira,BR,-30.1811,-50.2056,76.87,75,85,9.93,overcast clouds
106,Eenhana,NA,-17.4667,16.3333,68.43,91,100,7.18,light rain
107,Kununurra,AU,-15.7667,128.7333,80.58,78,73,3.44,broken clouds
108,Naze,JP,28.3667,129.4833,58.82,92,100,12.64,light rain
109,Urusha,RU,54.05,122.9,-11.63,95,96,3.15,overcast clouds
110,Garowe,SO,8.4054,48.4845,75.83,54,44,18.48,scattered clouds
111,Aklavik,CA,68.2191,-135.0107,-22.97,67,75,3.44,broken clouds
112,Porto Walter,BR,-8.2686,-72.7439,82.44,84,100,3.0,overcast clouds
113,Hithadhoo,MV,-0.6,73.0833,82.29,76,94,12.41,overcast clouds
114,Kokkola,FI,63.8385,23.1307,34.93,96,100,13.8,light rain
115,Grindavik,IS,63.8424,-22.4338,30.67,86,75,10.36,snow
116,Fayaoue,NC,-20.65,166.5333,81.82,80,100,11.95,overcast clouds
117,Tuatapere,NZ,-46.1333,167.6833,43.83,94,13,4.36,few clouds
118,Nikolskoye,RU,59.7035,30.7861,34.88,85,100,12.46,light snow
119,Esperance,AU,-33.8667,121.9,60.64,72,0,13.06,clear sky
120,Kiunga,PG,-6.1219,141.2906,73.38,93,92,3.02,overcast clouds
121,Klyuchi,RU,52.2667,79.1667,24.55,87,100,15.64,overcast clouds
122,Mahibadhoo,MV,3.7833,72.9667,82.17,74,100,10.38,overcast clouds
123,Douala,CM,4.0483,9.7043,85.91,74,40,4.61,scattered clouds
124,Nacogdoches,US,31.6002,-94.6335,45.1,41,0,4.61,clear sky
125,Gamba,GA,-2.65,10.0,80.01,76,93,6.08,overcast clouds
126,Mahebourg,MU,-20.4081,57.7,81.25,89,40,8.05,scattered clouds
127,Ayan,RU,56.45,138.1667,-9.15,84,6,6.6,clear sky
128,Kroya,ID,-7.6331,109.2461,78.19,90,98,2.39,moderate rain
129,Lebu,CL,-37.6167,-73.65,67.1,66,95,11.43,overcast clouds
130,Mount Isa,AU,-20.7333,139.5,73.17,100,100,5.75,overcast clouds
131,Puerto Escondido,MX,15.85,-97.0667,85.03,84,40,5.75,scattered clouds
132,Takoradi,GH,4.8845,-1.7554,83.61,71,54,13.89,broken clouds
133,Jacqueville,CI,5.2052,-4.4146,82.31,77,67,7.05,light rain
134,Providencia,MX,28.7167,-111.5833,78.85,27,71,12.37,broken clouds
135,Touros,BR,-5.1989,-35.4608,88.7,61,12,12.55,few clouds
136,Lagoa,PT,39.05,-27.9833,57.49,64,84,7.36,broken clouds
137,Cherskiy,RU,68.75,161.3,-17.57,98,99,8.21,overcast clouds
